protein_id,graph_path,voxel_path,uniprot_accession,GO:0005634,GO:0005829,GO:0005886,GO:0005737,GO:0005654,GO:0016020,GO:0046872,GO:0005615,GO:0070062,GO:0005576,GO:0005739,GO:0042802,GO:0006357,GO:0003723,GO:0005524,GO:0000981,GO:0005783,GO:0005794,GO:0000785,GO:0005789,GO:0000978,GO:0045944,GO:0003677,GO:0007165,GO:0000122,GO:0005730,GO:0043231,GO:0005509,GO:0042803,GO:0000139,GO:0008270,GO:0098978,GO:0009986,GO:0030154,GO:0032991,GO:0045087,GO:0005813,GO:1990837,GO:0005759,GO:0045893,GO:0048471,GO:0006355,GO:0009897,GO:0005102,GO:0006508,GO:0003682,GO:0045892,GO:0016567,GO:0001228,GO:0003700,GO:0007155,GO:0005743,GO:0044877,GO:0000977,GO:0006955,GO:0008285,GO:0043066,GO:0005925,GO:0004930,GO:0051301,GO:0005856,GO:0006974,GO:0019901,GO:0006954,GO:0008284,GO:0016324,GO:0005525,GO:0030425,GO:0035556,GO:0016607,GO:0006915,GO:0016604,GO:0045202,GO:0007186,GO:0016887,GO:0007399,GO:0043005,GO:0043565,GO:0005765,GO:0031267,GO:0046982,GO:0010628,GO:0007283,GO:0061630,GO:0006281,GO:0045296,GO:0019899,GO:0043025,GO:0007420,GO:0005096,GO:0005764,GO:0003924,GO:0001227,GO:0060271,GO:0005929,GO:0030424,GO:1990904,GO:0010629,GO:0043065,GO:0016323
AF-O15194-F1-model_v4,ten_percent_graphs/graph_AF-O15194-F1-model_v4.pt,ten_percent_voxels/voxel_AF-O15194-F1-model_v4.pt,O15194,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-Q13347-F1-model_v4,ten_percent_graphs/graph_AF-Q13347-F1-model_v4.pt,ten_percent_voxels/voxel_AF-Q13347-F1-model_v4.pt,Q13347,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-Q8TCU6-F1-model_v4,ten_percent_graphs/graph_AF-Q8TCU6-F1-model_v4.pt,ten_percent_voxels/voxel_AF-Q8TCU6-F1-model_v4.pt,Q8TCU6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AF-P0DP73-F1-model_v4,ten_percent_graphs/graph_AF-P0DP73-F1-model_v4.pt,ten_percent_voxels/voxel_AF-P0DP73-F1-model_v4.pt,P0DP73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-P0DP73-F1-model_v4,ten_percent_graphs/graph_AF-P0DP73-F1-model_v4.pt,ten_percent_voxels/voxel_AF-P0DP73-F1-model_v4.pt,P0DP73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-O43143-F1-model_v4,ten_percent_graphs/graph_AF-O43143-F1-model_v4.pt,ten_percent_voxels/voxel_AF-O43143-F1-model_v4.pt,O43143,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-P07478-F1-model_v4,ten_percent_graphs/graph_AF-P07478-F1-model_v4.pt,ten_percent_voxels/voxel_AF-P07478-F1-model_v4.pt,P07478,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-P51161-F1-model_v4,ten_percent_graphs/graph_AF-P51161-F1-model_v4.pt,ten_percent_voxels/voxel_AF-P51161-F1-model_v4.pt,P51161,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-Q96Q11-F1-model_v4,ten_percent_graphs/graph_AF-Q96Q11-F1-model_v4.pt,ten_percent_voxels/voxel_AF-Q96Q11-F1-model_v4.pt,Q96Q11,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-Q9UJC5-F1-model_v4,ten_percent_graphs/graph_AF-Q9UJC5-F1-model_v4.pt,ten_percent_voxels/voxel_AF-Q9UJC5-F1-model_v4.pt,Q9UJC5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
